Вітко Артем Леонідович,2014,data
Вітко Артем Леонідович,2013,data
Супруненко Олександр Іванович,2014,data
Супруненко Олександр Іванович,2013,data
Куліч Валерій Петрович,2014,data
Куліч Валерій Петрович,2013,data
Добродомов Дмитро Євгенович,2014,data
Добродомов Дмитро Євгенович,2013,data
Павлов Костянтин Юрійович,2014,data
Павлов Костянтин Юрійович,2013,data
Матківський Богдан Миронович,2014,data
Матківський Богдан Миронович,2013,data
Мосійчук Ігор Володимирович,2014,data
Мосійчук Ігор Володимирович,2013,data
Лаврик Микола Іванович,2014,data
Лаврик Микола Іванович,2013,data
Горбунов Олександр Володимирович,2014,data
Горбунов Олександр Володимирович,2013,data
Фірсов Єгор Павлович,2014,data
Фірсов Єгор Павлович,2013,data
Пономарьов Олександр Сергійович,2014,data
Пономарьов Олександр Сергійович,2013,data
Новинський Вадим Владиславович,2014,data
Новинський Вадим Владиславович,2013,data
Пташник Вікторія Юріївна,2014,data
Пташник Вікторія Юріївна,2013,data
Бойко Олена Петрівна,2014,data
Бойко Олена Петрівна,2013,data
Дзензерський Денис Вікторович,2014,data
Дзензерський Денис Вікторович,2013,data
Дубневич Богдан Васильович,2014,data
Дубневич Богдан Васильович,2013,data
Заставний Роман Йосипович,2014,data
Заставний Роман Йосипович,2013,data
Святаш Дмитро Володимирович,2014,data
Святаш Дмитро Володимирович,2013,data
Романовський Олександр Володимирович,2014,data
Романовський Олександр Володимирович,2013,data
Кулініч Олег Іванович,2014,data
Кулініч Олег Іванович,2013,data
Голуб Владислав Володимирович,2014,data
Голуб Владислав Володимирович,2013,data
Іщейкін Костянтин Євгенович,2014,data
Іщейкін Костянтин Євгенович,2013,data
Денисенко Анатолій Петрович,2014,data
Денисенко Анатолій Петрович,2013,data
Богомолець Ольга Вадимівна,2014,data
Богомолець Ольга Вадимівна,2013,data
Пастух Тарас Тимофійович,2014,data
Пастух Тарас Тимофійович,2013,data
Мороко Юрій Миколайович,2013,data
Омельянович Денис Сергійович,2014,data
Омельянович Денис Сергійович,2013,data
Мушак Олексій Петрович,2014,data
Мушак Олексій Петрович,2013,data
Бондар Михайло Леонтійович,2014,data
Бондар Михайло Леонтійович,2013,data
Савченко Надія Вікторівна,2013,data
Заліщук Світлана Петрівна,2014,data
Заліщук Світлана Петрівна,2013,data
Кишкар Павло Миколайович,2014,data
Кишкар Павло Миколайович,2013,data
Дідич Валентин Володимирович,2014,data
Дідич Валентин Володимирович,2013,data
Агафонова Наталія Володимирівна,2014,data
Агафонова Наталія Володимирівна,2013,data
Хомутиннік Віталій Юрійович,2014,data
Хомутиннік Віталій Юрійович,2013,data
Домбровський Олександр Георгійович,2014,data
Домбровський Олександр Георгійович,2013,data
Вовк Віктор Іванович,2014,data
Вовк Віктор Іванович,2013,data
Дмитренко Олег Миколайович,2014,data
Дмитренко Олег Миколайович,2013,data
Чепинога Віталій Михайлович,2014,data
Чепинога Віталій Михайлович,2013,data
Балога Віктор Іванович,2014,data
Балога Віктор Іванович,2013,data
Корнацький Аркадій Олексійович,2013,data
Бурбак Максим Юрійович,2014,data
Бурбак Максим Юрійович,2013,data
